Dataset,Method,Status,Accuracy,Precision,Recall,Macro_F1,Micro_F1,NMI,ARI
bank77,Keyphrase Expansion - weighted_0.5,Success,0.6139610389610389,0.5973736106603654,0.6139610389610389,0.583212219234526,0.6139610389610389,0.819188951836933,0.5315690451414223
bank77,Keyphrase Expansion - weighted_0.6,Success,0.6691558441558442,0.6945273254945437,0.6691558441558442,0.6542806933944885,0.6691558441558442,0.832372646707633,0.5616871642561431
bank77,Keyphrase Expansion - weighted_0.7,Success,0.6272727272727273,0.6328330511888972,0.6272727272727273,0.6062967169491961,0.6272727272727273,0.8220428100568006,0.5368091814064143
bank77,Keyphrase Expansion - weighted_0.8,Success,0.6285714285714286,0.6382236677088776,0.6285714285714287,0.6113564326820763,0.6285714285714286,0.8201451850866596,0.5428470975192488
bank77,Keyphrase Expansion - weighted_0.9,Success,0.6409090909090909,0.649551536821815,0.6409090909090909,0.6241652356150426,0.6409090909090909,0.816847541158611,0.5439000086091339
bank77,Keyphrase Expansion - weighted_1.0,Success,0.6659090909090909,0.6712044004295352,0.6659090909090909,0.6500428755767464,0.6659090909090909,0.827692220384758,0.5730476919884833
agnews,Naive KMeans,Success,0.8625,0.8621242639008561,0.8625,0.8611306642976746,0.8625,0.6491458307065296,0.681361249440563
agnews,Naive KMeans,Success,0.8631578947368421,0.8631886368471144,0.8631578947368421,0.8619504998226575,0.8631578947368421,0.6509393893547801,0.6827164869856163
hwu64,Naive KMeans,Success,0.6449814126394052,0.614850404194937,0.617429240167727,0.5954075242122341,0.6449814126394052,0.8232522712933952,0.5416701748091339
hwu64,LLM Correction,Success,0.6524163568773235,0.618030898305001,0.6252303183841014,0.6017561830553372,0.6524163568773235,0.8257303047374067,0.5498026087525151
hwu64,Keyphrase Expansion - concatenated,Success,0.6338289962825279,0.6156835852836617,0.6176694741661847,0.5937966618670293,0.6338289962825279,0.8230293345637384,0.5414650997449734
hwu64,Keyphrase Expansion - average,Success,0.7267657992565055,0.7232239096316424,0.7006637185913502,0.6865720750469548,0.7267657992565055,0.8577495651171264,0.6278563335002296
hwu64,Keyphrase Expansion - weighted_0.1,Success,0.6514869888475836,0.6321802485385394,0.6461127551176893,0.6118679019774127,0.6514869888475836,0.8288910957812309,0.5626781892438455
hwu64,Keyphrase Expansion - weighted_0.2,Success,0.6923791821561338,0.6645515156154,0.6596591639354796,0.6457817278829995,0.6923791821561338,0.8333531931514438,0.5758366709258236
hwu64,Keyphrase Expansion - weighted_0.3,Success,0.6756505576208178,0.6613116880108107,0.6558875529167469,0.6331988712786601,0.6756505576208178,0.8381879125982268,0.5760710908957035
hwu64,Keyphrase Expansion - weighted_0.4,Success,0.6552044609665427,0.6399579060677881,0.6325406364468864,0.6146294126535488,0.6552044609665427,0.8241178400734639,0.5537621405199751
hwu64,Keyphrase Expansion - weighted_0.5,Success,0.7267657992565055,0.7232239096316424,0.7006637185913502,0.6865720750469548,0.7267657992565055,0.8577495651171264,0.6278563335002296
hwu64,Keyphrase Expansion - weighted_0.6,Success,0.6570631970260223,0.6299431486029856,0.6308100479564296,0.6104870116628205,0.6570631970260223,0.8325512605906924,0.5660576903738406
hwu64,Keyphrase Expansion - weighted_0.7,Success,0.6951672862453532,0.6865913188784397,0.6885967924619241,0.6653194309198373,0.6951672862453532,0.8395926195851311,0.5961656080110953
hwu64,Keyphrase Expansion - weighted_0.8,Success,0.645910780669145,0.6522065101672168,0.6347769714751623,0.6240438808716771,0.645910780669145,0.8134292725017055,0.5294346299100057
hwu64,Keyphrase Expansion - weighted_0.9,Success,0.6747211895910781,0.6423779321889291,0.6517823756105006,0.6284479214475596,0.6747211895910781,0.8258796905278296,0.5657036050937614
hwu64,Keyphrase Expansion - weighted_1.0,Success,0.6486988847583643,0.6111462165670125,0.628331219675792,0.6055751327178169,0.6486988847583643,0.823971195623736,0.5604146014678197
clinc,Pairwise Constraints,Success,0.6513333333333333,0.6276712254989133,0.6513333333333334,0.6064384152105631,0.6513333333333333,0.8970167994642987,0.623704759069697
hwu64,Pairwise Constraints,Success,0.6068773234200744,0.5484115559664122,0.5711420227250819,0.5321151211069362,0.6068773234200744,0.8050547585033299,0.5173643113938223
tweet,Pairwise Constraints,Success,0.5673333333333334,0.5608625472191862,0.5673333333333334,0.5618146587277262,0.5673333333333334,0.14350858889884083,0.15813264876485833
hwu64,Pairwise Constraints,Success,0.4879182156133829,0.4430098270891538,0.47376119060946364,0.41417176581334003,0.4879182156133829,0.7697606670568783,0.40727372626690944
opiec59k,Naive KMeans,Success,0.4581742450538008,0.4895393785411651,0.6077243373626636,0.49089727834071306,0.4581742450538008,0.8769114786777212,0.2876769451978408,0.652114499424626,0.1853093257577306,0.28860630560374323
opiec59k,Keyphrase Expansion - concatenated,Success,0.4531412703922249,0.4869822556233901,0.602682514428865,0.4884143518587469,0.4531412703922249,0.8762554430987967,0.22274463083170304,0.5739505025762311,0.13887469598806435,0.22363744075829384
opiec59k,Keyphrase Expansion - average,Success,0.46095105866018743,0.49639445660318954,0.6140772154787103,0.49951216326650266,0.46095105866018743,0.8769477230060355,0.25041217603846694,0.6120075937351684,0.15812708209855098,0.251319614753699
opiec59k,Keyphrase Expansion - weighted_0.1,Success,0.4614717112113849,0.4890826024256127,0.6094856991197461,0.49124489903965785,0.4614717112113849,0.8770715591739339,0.2888930474115422,0.6521676920875662,0.1863107768399109,0.2898246618023431
opiec59k,Keyphrase Expansion - weighted_0.2,Success,0.4621659146129816,0.4947517288232715,0.612227229296821,0.4965439049722252,0.4621659146129816,0.8785825411379942,0.29135931403131393,0.662311412690392,0.18751660569396472,0.29228122710330984
opiec59k,Keyphrase Expansion - weighted_0.3,Success,0.46459562651856995,0.4986509170506753,0.6166504475700907,0.4995025372711408,0.46459562651856995,0.8770940430506406,0.2879376503318678,0.6515031929396571,0.18557501686116618,0.2888683867273248
opiec59k,Keyphrase Expansion - weighted_0.4,Success,0.4597362027073933,0.4866687550015192,0.6067062356890099,0.4890598564475722,0.4597362027073933,0.8772472158812633,0.287348013846283,0.6563294356888663,0.18469619244211,0.2882707582379023
opiec59k,Keyphrase Expansion - weighted_0.5,Success,0.46095105866018743,0.49639445660318954,0.6140772154787103,0.49951216326650266,0.46095105866018743,0.8769477230060355,0.25041217603846694,0.6120075937351684,0.15812708209855098,0.251319614753699
opiec59k,Keyphrase Expansion - weighted_0.6,Success,0.4548767788962166,0.48910566506591524,0.6082525033265673,0.491291752021016,0.4548767788962166,0.8760965240652882,0.2474172505527851,0.611405197305101,0.1557971754991927,0.24831832174210464
opiec59k,Keyphrase Expansion - weighted_0.7,Success,0.4637278722665741,0.500855912981862,0.6177727336605483,0.5023178878093747,0.4637278722665741,0.8776444065694061,0.28830652635879955,0.6448921880523153,0.186433403503035,0.28924755049624246
opiec59k,Keyphrase Expansion - weighted_0.8,Success,0.4595626518569941,0.4878523094691027,0.6125013801572877,0.4912948084547421,0.4595626518569941,0.8764296555863107,0.28624534903183974,0.6501550219914918,0.18428743689836294,0.2871747507882417
